state	power	likelihood
251	1	-8192.37
252	1	-8193.14
253	1	-8192.18
254	1	-8190.58
255	1	-8190.09
256	1	-8190.73
257	1	-8189.68
258	1	-8187.82
259	1	-8187.96
260	1	-8185.83
261	1	-8185.95
262	1	-8193.1
263	1	-8193.07
264	1	-8192.73
265	1	-8200.13
266	1	-8200.97
267	1	-8200.89
268	1	-8193.51
269	1	-8190.19
270	1	-8187.76
271	1	-8189.9
272	1	-8191.57
273	1	-8189.61
274	1	-8192.46
275	1	-8199.42
276	1	-8201.2
277	1	-8196.76
278	1	-8194.21
279	1	-8195.43
280	1	-8187.05
281	1	-8195.51
282	1	-8195.52
283	1	-8190.45
284	1	-8184.22
285	1	-8188.61
286	1	-8185.12
287	1	-8190.53
288	1	-8188.06
289	1	-8185.76
290	1	-8183.18
291	1	-8184.96
292	1	-8187.06
293	1	-8185.39
294	1	-8186.46
295	1	-8183.28
296	1	-8185.16
297	1	-8186.17
298	1	-8186.87
299	1	-8185.21
300	1	-8184.43
301	1	-8185.96
302	1	-8189.63
303	1	-8188.65
304	1	-8187.15
305	1	-8188.55
306	1	-8192.09
307	1	-8192.09
308	1	-8192.06
309	1	-8191.12
310	1	-8189.91
311	1	-8188.81
312	1	-8188.99
313	1	-8191.66
314	1	-8197.99
315	1	-8198.01
316	1	-8197.16
317	1	-8193.66
318	1	-8189.45
319	1	-8189.36
320	1	-8189.04
321	1	-8187.91
322	1	-8187.61
323	1	-8186.77
324	1	-8182.95
325	1	-8184.95
326	1	-8184.66
327	1	-8183.1
328	1	-8185.64
329	1	-8189.4
330	1	-8183.3
331	1	-8182.25
332	1	-8183.19
333	1	-8184.13
334	1	-8188.11
335	1	-8189.95
336	1	-8188.83
337	1	-8187.22
338	1	-8186.41
339	1	-8184.3
340	1	-8185.01
341	1	-8185.42
342	1	-8185.77
343	1	-8190.85
344	1	-8192.23
345	1	-8196.31
346	1	-8189.08
347	1	-8188.76
348	1	-8185.25
349	1	-8185.29
350	1	-8184.69
351	1	-8183.26
352	1	-8182.2
353	1	-8181.15
354	1	-8184.31
355	1	-8185.76
356	1	-8184.74
357	1	-8184.87
358	1	-8185.65
359	1	-8189.35
360	1	-8187.12
361	1	-8189.22
362	1	-8185.83
363	1	-8187.58
364	1	-8184.35
365	1	-8187.03
366	1	-8188.85
367	1	-8188.51
368	1	-8192.71
369	1	-8189.01
370	1	-8189.33
371	1	-8189.91
372	1	-8185.82
373	1	-8185.29
374	1	-8184.61
375	1	-8183.13
376	1	-8186.8
377	1	-8190.44
378	1	-8191.4
379	1	-8189.22
380	1	-8188.2
381	1	-8187.51
382	1	-8191.45
383	1	-8190.28
384	1	-8190.82
385	1	-8188.38
386	1	-8184.01
387	1	-8191.04
388	1	-8186.42
