state	power	likelihood
251	0.90204	-7990.38
252	0.90204	-7992.75
253	0.90204	-7990.57
254	0.90204	-7992.26
255	0.90204	-7985.77
256	0.90204	-7986.45
257	0.90204	-7986.15
258	0.90204	-7987.54
259	0.90204	-7989.91
260	0.90204	-7989.98
261	0.90204	-7985.86
262	0.90204	-7984.88
263	0.90204	-7983.4
264	0.90204	-7995.82
265	0.90204	-7997.22
266	0.90204	-7995.9
267	0.90204	-7995.26
268	0.90204	-7993.33
269	0.90204	-7996.69
270	0.90204	-8008.56
271	0.90204	-7998.6
272	0.90204	-7987.15
273	0.90204	-7990.33
274	0.90204	-7989.03
275	0.90204	-7984.43
276	0.90204	-7992.32
277	0.90204	-7988.78
278	0.90204	-7982.23
279	0.90204	-7984.63
280	0.90204	-7985.14
281	0.90204	-7989.45
282	0.90204	-7988.42
283	0.90204	-7992.91
284	0.90204	-7990.68
285	0.90204	-7988.19
286	0.90204	-7985.62
287	0.90204	-7985.2
288	0.90204	-7986.1
289	0.90204	-7987.25
290	0.90204	-7988.64
291	0.90204	-7988.94
292	0.90204	-7994
293	0.90204	-7995.94
294	0.90204	-7995.64
295	0.90204	-7994.87
296	0.90204	-7994.15
297	0.90204	-7989.94
298	0.90204	-7988.64
299	0.90204	-7986.48
300	0.90204	-7997.01
301	0.90204	-7985.88
302	0.90204	-7985.22
303	0.90204	-7992.37
304	0.90204	-7991.88
305	0.90204	-7987.73
306	0.90204	-7988.79
307	0.90204	-7991.41
308	0.90204	-7993.02
309	0.90204	-8001.4
310	0.90204	-7995.69
311	0.90204	-7990.77
312	0.90204	-7989.23
313	0.90204	-7987.05
314	0.90204	-7989.01
315	0.90204	-7990.84
316	0.90204	-7987.75
317	0.90204	-7988.77
318	0.90204	-7988.35
319	0.90204	-7988.37
320	0.90204	-7993.63
321	0.90204	-7997.35
322	0.90204	-8001.85
323	0.90204	-7996.36
324	0.90204	-7993.26
325	0.90204	-7989.71
326	0.90204	-7987.7
327	0.90204	-7992.72
328	0.90204	-7987
329	0.90204	-7987.74
330	0.90204	-7988.88
331	0.90204	-7987.12
332	0.90204	-7985.5
333	0.90204	-7986.89
334	0.90204	-7992.73
335	0.90204	-7992.98
336	0.90204	-7986.87
337	0.90204	-7988.73
338	0.90204	-7991.76
339	0.90204	-7987.8
340	0.90204	-7992.21
341	0.90204	-7990.14
342	0.90204	-7988.44
343	0.90204	-7989.44
344	0.90204	-7990.5
345	0.90204	-7987.62
346	0.90204	-7987.31
347	0.90204	-7990.64
348	0.90204	-7984.7
349	0.90204	-7986.5
350	0.90204	-7986.62
351	0.90204	-7987.91
352	0.90204	-7991.41
353	0.90204	-7989.1
354	0.90204	-7985.54
355	0.90204	-7988.65
356	0.90204	-7985.63
357	0.90204	-7986.4
358	0.90204	-7988.43
359	0.90204	-7996.73
360	0.90204	-7991.85
361	0.90204	-7990.12
362	0.90204	-7991.03
363	0.90204	-7996.82
364	0.90204	-7994.61
365	0.90204	-7997.54
366	0.90204	-7998.02
367	0.90204	-8002.15
368	0.90204	-7994.82
369	0.90204	-7997.63
370	0.90204	-7991.17
371	0.90204	-7988.67
372	0.90204	-7984.49
373	0.90204	-7991.88
374	0.90204	-7992.65
375	0.90204	-7995.25
376	0.90204	-7994.35
377	0.90204	-7994.07
378	0.90204	-7989.09
379	0.90204	-7991.91
380	0.90204	-7989.82
381	0.90204	-7985.19
382	0.90204	-7987.68
383	0.90204	-7987.36
384	0.90204	-7991.73
385	0.90204	-7989.36
386	0.90204	-7986.17
387	0.90204	-7987.46
388	0.90204	-7985.98
389	0.90204	-7986.4
390	0.90204	-7989.18
391	0.90204	-7995.52
392	0.90204	-7998.59
393	0.90204	-7997.3
394	0.90204	-7998.57
395	0.90204	-7996.23
396	0.90204	-7997.42
397	0.90204	-7996.33
398	0.90204	-7995.92
399	0.90204	-7990.05
400	0.90204	-7991.34
401	0.90204	-7992.91
402	0.90204	-7988.51
403	0.90204	-7990.23
404	0.90204	-7992.58
405	0.90204	-7993.38
406	0.90204	-7992.69
407	0.90204	-7997.86
408	0.90204	-7999.14
409	0.90204	-7994.63
410	0.90204	-7992.58
411	0.90204	-8000.98
412	0.90204	-8000.73
413	0.90204	-7993.93
414	0.90204	-7991.2
415	0.90204	-7989.42
416	0.90204	-7991.18
417	0.90204	-7994.33
418	0.90204	-7985.63
419	0.90204	-7984.18
420	0.90204	-7991.02
