state	power	likelihood
251	0.520429	-8048.92
252	0.520429	-8052.38
253	0.520429	-8061.91
254	0.520429	-8050.58
255	0.520429	-8052.01
256	0.520429	-8037.46
257	0.520429	-8049.58
258	0.520429	-8045.09
259	0.520429	-8049.16
260	0.520429	-8051.74
261	0.520429	-8051.68
262	0.520429	-8050.5
263	0.520429	-8037.19
264	0.520429	-8053
265	0.520429	-8050.14
266	0.520429	-8038.21
267	0.520429	-8053
268	0.520429	-8047.82
269	0.520429	-8046.49
270	0.520429	-8032.83
271	0.520429	-8032.43
272	0.520429	-8039.29
273	0.520429	-8041.51
274	0.520429	-8048.39
275	0.520429	-8045.07
276	0.520429	-8055.19
277	0.520429	-8045.69
278	0.520429	-8051.99
279	0.520429	-8049.15
280	0.520429	-8058.25
281	0.520429	-8055.28
282	0.520429	-8055.65
283	0.520429	-8052.11
284	0.520429	-8055.53
285	0.520429	-8050.34
286	0.520429	-8044.07
287	0.520429	-8047.02
288	0.520429	-8051.46
289	0.520429	-8054.96
290	0.520429	-8051.03
291	0.520429	-8065.62
292	0.520429	-8059.34
293	0.520429	-8059.37
294	0.520429	-8055.84
295	0.520429	-8048.03
296	0.520429	-8056.7
297	0.520429	-8050.85
298	0.520429	-8046.31
299	0.520429	-8052.9
300	0.520429	-8070.43
301	0.520429	-8051.06
302	0.520429	-8051.55
303	0.520429	-8066.32
304	0.520429	-8058.09
305	0.520429	-8056.67
306	0.520429	-8052.62
307	0.520429	-8054.01
308	0.520429	-8050.15
309	0.520429	-8054.64
310	0.520429	-8048.04
311	0.520429	-8049.51
312	0.520429	-8060.49
313	0.520429	-8066.71
314	0.520429	-8060.24
315	0.520429	-8048.45
316	0.520429	-8069.67
317	0.520429	-8061.46
318	0.520429	-8066.7
319	0.520429	-8075.02
320	0.520429	-8055.61
321	0.520429	-8053.07
322	0.520429	-8056.27
323	0.520429	-8052.03
324	0.520429	-8064.25
325	0.520429	-8045.74
326	0.520429	-8039.84
327	0.520429	-8041.72
328	0.520429	-8041.84
329	0.520429	-8045.89
330	0.520429	-8039.95
331	0.520429	-8038.7
332	0.520429	-8054.35
333	0.520429	-8051.51
334	0.520429	-8045.52
335	0.520429	-8064.29
336	0.520429	-8044.98
337	0.520429	-8045.98
338	0.520429	-8041.08
339	0.520429	-8043.27
340	0.520429	-8044.15
341	0.520429	-8038.46
342	0.520429	-8042.36
343	0.520429	-8038.75
344	0.520429	-8042.11
345	0.520429	-8056.44
346	0.520429	-8049.98
347	0.520429	-8067.14
348	0.520429	-8059.17
349	0.520429	-8066.49
350	0.520429	-8062.27
351	0.520429	-8052.52
352	0.520429	-8062.12
353	0.520429	-8062
354	0.520429	-8069.8
355	0.520429	-8061.79
356	0.520429	-8060.48
357	0.520429	-8051.86
358	0.520429	-8059.59
359	0.520429	-8058.26
360	0.520429	-8050.58
361	0.520429	-8063.91
362	0.520429	-8039.72
363	0.520429	-8040.71
364	0.520429	-8039.91
365	0.520429	-8050.15
366	0.520429	-8049.74
367	0.520429	-8050.85
368	0.520429	-8048.87
369	0.520429	-8042.92
370	0.520429	-8055.39
371	0.520429	-8052.81
372	0.520429	-8054.65
373	0.520429	-8051.72
374	0.520429	-8051.52
375	0.520429	-8040.74
376	0.520429	-8043.32
377	0.520429	-8046.01
378	0.520429	-8051.25
379	0.520429	-8055.92
380	0.520429	-8050.45
381	0.520429	-8050.71
382	0.520429	-8050.47
383	0.520429	-8057.04
384	0.520429	-8047.09
385	0.520429	-8061.3
386	0.520429	-8055.24
387	0.520429	-8062.97
388	0.520429	-8052.34
389	0.520429	-8070.58
390	0.520429	-8059.45
391	0.520429	-8061.77
392	0.520429	-8053.14
393	0.520429	-8050.93
394	0.520429	-8054.86
395	0.520429	-8061.61
396	0.520429	-8061.06
397	0.520429	-8052.73
398	0.520429	-8053.02
399	0.520429	-8047.44
400	0.520429	-8038.94
401	0.520429	-8038.47
402	0.520429	-8056.64
403	0.520429	-8061.24
404	0.520429	-8057.91
405	0.520429	-8055.51
406	0.520429	-8052.62
407	0.520429	-8048.33
408	0.520429	-8043.32
409	0.520429	-8043.88
410	0.520429	-8042.6
411	0.520429	-8062.42
412	0.520429	-8067.04
413	0.520429	-8041.04
414	0.520429	-8040.1
415	0.520429	-8046.07
416	0.520429	-8036.9
417	0.520429	-8037.12
418	0.520429	-8042.71
419	0.520429	-8050.32
420	0.520429	-8048.32
