state	power	likelihood
251	1	-8063.4
252	1	-8056.63
253	1	-8062.92
254	1	-8057.57
255	1	-8066.72
256	1	-8061.75
257	1	-8063.63
258	1	-8068.99
259	1	-8072.13
260	1	-8076.4
261	1	-8066.43
262	1	-8062.68
263	1	-8061.97
264	1	-8063.75
265	1	-8061.4
266	1	-8060
267	1	-8060.29
268	1	-8061.88
269	1	-8058.27
270	1	-8055.47
271	1	-8060.58
272	1	-8059.61
273	1	-8062.05
274	1	-8065.68
275	1	-8062.81
276	1	-8065.38
277	1	-8059.81
278	1	-8059.23
279	1	-8057.84
280	1	-8059.62
281	1	-8063.93
282	1	-8066.35
283	1	-8068.44
284	1	-8055.57
285	1	-8056.08
286	1	-8058.85
287	1	-8060.49
288	1	-8060.09
289	1	-8060.27
290	1	-8058.91
291	1	-8062.36
292	1	-8060.13
293	1	-8061.03
294	1	-8062.16
295	1	-8066.44
296	1	-8065.18
297	1	-8067.96
298	1	-8063.26
299	1	-8062.54
300	1	-8059.64
301	1	-8066.61
302	1	-8066.62
303	1	-8066.52
304	1	-8067.34
305	1	-8069.56
306	1	-8067.86
307	1	-8061.24
308	1	-8062.91
309	1	-8064.6
310	1	-8061.06
311	1	-8065.89
312	1	-8062.82
313	1	-8064.84
314	1	-8067.21
315	1	-8059.89
316	1	-8059.73
317	1	-8060.19
318	1	-8061.27
319	1	-8063.62
320	1	-8063.5
321	1	-8063.15
322	1	-8067.62
323	1	-8061.34
324	1	-8060.57
325	1	-8062.68
326	1	-8059.81
327	1	-8059.69
328	1	-8060.39
329	1	-8058.9
330	1	-8056.96
331	1	-8057.6
332	1	-8060.99
333	1	-8063.34
334	1	-8057.85
335	1	-8054.19
336	1	-8055.01
337	1	-8057.51
338	1	-8057.47
339	1	-8058.23
340	1	-8061.12
341	1	-8063.25
342	1	-8064.84
343	1	-8061.31
344	1	-8061.94
345	1	-8067.05
346	1	-8066.87
347	1	-8067.58
348	1	-8068.05
349	1	-8066.77
350	1	-8062.71
351	1	-8070.02
352	1	-8068.41
353	1	-8061.71
354	1	-8065.69
355	1	-8061.66
356	1	-8068.17
357	1	-8064.82
358	1	-8062.88
359	1	-8065.46
360	1	-8063.97
361	1	-8061.04
362	1	-8073.96
363	1	-8059.32
364	1	-8063.34
365	1	-8061.42
366	1	-8064.88
367	1	-8056.87
368	1	-8061.18
369	1	-8061.04
370	1	-8061.25
371	1	-8065.67
372	1	-8062.24
373	1	-8061.64
374	1	-8060.06
375	1	-8059.05
376	1	-8057.41
377	1	-8057.6
378	1	-8060.13
379	1	-8061.22
380	1	-8058.81
381	1	-8061.82
382	1	-8061.56
383	1	-8065.07
384	1	-8064.87
385	1	-8062.31
386	1	-8064.03
387	1	-8059.43
388	1	-8057.68
389	1	-8063.82
390	1	-8065.32
391	1	-8068.09
392	1	-8064
393	1	-8068.77
394	1	-8073.74
395	1	-8068.16
396	1	-8062.73
397	1	-8062.89
398	1	-8067.85
399	1	-8061.66
400	1	-8072.82
401	1	-8064.98
402	1	-8061.86
403	1	-8062.53
404	1	-8070.2
405	1	-8074.97
406	1	-8075.14
407	1	-8075.23
408	1	-8071.16
409	1	-8069.1
410	1	-8073.95
411	1	-8065.67
412	1	-8064.53
413	1	-8061.32
414	1	-8064.34
415	1	-8061.81
416	1	-8066
417	1	-8063.49
418	1	-8063.93
419	1	-8065.03
420	1	-8065.18
421	1	-8068.65
422	1	-8061.39
423	1	-8064.38
424	1	-8066.81
425	1	-8064.03
426	1	-8058.68
427	1	-8070
428	1	-8066.54
429	1	-8068.41
430	1	-8068.7
431	1	-8066.52
432	1	-8062.47
433	1	-8064.44
434	1	-8066.41
435	1	-8060.45
436	1	-8066.37
437	1	-8064.25
438	1	-8066.17
439	1	-8062.67
440	1	-8062.57
441	1	-8063.96
442	1	-8068.36
443	1	-8063.21
444	1	-8059.15
445	1	-8055.99
446	1	-8054.77
447	1	-8057.39
448	1	-8060.57
449	1	-8059.95
450	1	-8061.6
451	1	-8057.85
452	1	-8057.73
453	1	-8059.12
454	1	-8054.79
455	1	-8057.06
456	1	-8059.01
457	1	-8060.39
458	1	-8061.84
459	1	-8063.38
460	1	-8066.31
461	1	-8063.31
462	1	-8065.68
463	1	-8062.8
