tip_name,RPB,EIF3E
deg_UMA2_112_A,0.5288568257491676,0.5221975582685905
deg_UMA2_112_B,0.5288568257491676,0.5221975582685905
n_BDJKH2_105_A,0.7164261931187569,0.30799112097669257
n_BDJKH2_105_B,0.376803551609323,0.562708102108768
n_BDJKH2_105_C,0.47835738068812433,0.5066592674805771
n_VJJS2_011_A,1,1
n_VJJS2_011_B,1,1
n_VJJS2_011_C,1,1
n_BDJKH5_166_A,1,1
n_BDJKH5_166_B,1,1
n_BDJKH8_106_A,0.32963374028856823,0.5072142064372919
n_BDJKH8_106_B,0.5643729189789123,0.564927857935627
n_BDJKH8_106_C,0.20199778024417314,0.29966703662597116
n_BDJKH8_106_D,0.3501664816870144,0.9805771365149833
n_BDZKH2_023_A,1,1
n_BDZKH2_023_B,1,1
n_BDZKH5_128_A,0.9234184239733629,0.937291897891232
n_BDZKH5_128_B,0.8490566037735849,0.8385127635960045
n_BDZKH5_128_C,0.4839067702552719,0.8967813540510544
n_BDZKH5_128_D,0.4589345172031077,0.7857935627081021
n_BDZKH8_024_A,0.7502774694783574,0.7563817980022197
n_BDZKH8_024_B,0.9100998890122086,0.9977802441731409
n_BDZKH8_024_C,0.7275249722530521,0.755826859045505
n_BHA1_067_A,0.3052164261931188,0.2630410654827969
n_BHA1_067_B,0.20532741398446172,0.39456159822419534
n_BHA1_067_C,0.3113207547169811,0.49500554938956715
n_BHA1_067_D,0.48834628190899,0.4872364039955605
n_BHD3_145_A,0.5682574916759157,0.5704772475027747
n_BHD3_145_B,0.2358490566037736,0.24472807991120976
n_BHD3_145_C,0.341842397336293,0.2974472807991121
n_BHD3_145_D,0.3174250832408435,0.33129855715871254
n_BKO2_053_A,0.3462819089900111,0.38013318534961155
n_BKO2_053_B,0.9411764705882353,0.9500554938956715
n_BKO2_053_C,0.33296337402885684,0.597669256381798
n_BKO2_053_D,0.3374028856825749,0.42896781354051056
n_BKO22_138_A,0.47447280799112096,0.26748057713651496
n_BKO22_138_B,0.3723640399556049,0.3129855715871254
n_BKO22_138_C,0.2741398446170921,0.2724750277469478
n_BKO22_138_D,0.42341842397336293,0.4261931187569367
n_BKO31_139_A,0.5704772475027747,0.39900110987791343
n_BKO31_139_B,0.5011098779134295,0.7619311875693674
n_BKO31_139_C,0.30244173140954494,0.5105438401775805
n_BKO5_054_A,0.4095449500554939,0.3446170921198668
n_BKO5_054_B,0.2946725860155383,0.38290788013318533
n_BKO5_054_C,0.21198668146503885,0.40621531631520535
n_BKO5_054_D,0.2846836847946726,0.3579356270810211
n_BKO5_055_A,0.8074361820199778,0.9378468368479467
n_BKO5_055_B,0.3978912319644839,0.7935627081021087
n_BKO5_055_C,0.46226415094339623,0.7924528301886793
n_BKO5_055_D,0.7802441731409545,0.8257491675915649
n_BLS5_154_A,1,0.6614872364039955
n_BLS5_154_B,0.5088790233074362,0.5782463928967814
n_BLS5_154_C,0.5227524972253053,0.5782463928967814
n_BLS5_154_D,0.9689234184239733,0.6614872364039955
n_BNFA2_032_A,0.5099889012208657,1
n_BNFA2_032_B,0.5099889012208657,1
n_BNFA2_032_C,1,1
n_BNFA5_131_A,0.8035516093229744,0.8029966703662597
n_BNFA5_131_B,0.30965593784683687,0.6076581576026637
n_BNFA5_131_C,0.33129855715871254,0.7008879023307436
n_BNFA5_131_D,0.30077691453940064,0.6004439511653719
n_BOJ2_050_A,0.55826859045505,0.5943396226415094
n_BOJ2_050_B,1,1
n_BOJ2_050_C,0.55826859045505,0.5943396226415094
n_BOJ5_136_A,1,1
n_BOJ5_136_B,1,1
