sample;ploidy;run1;run2;run3;run4;run5
n_SMB5_141;2;-8113.766;-8069.519;-8155.676;-8065.259;-8062.068
n_SMB5_141;3;-8083.875;-8095.389;-999999.99;-999999.99;-999999.99
n_SMB7_059;2;-8262.726;-8112.275;-8121.782;-8339.906;-8088.605
n_SMB7_059;4;-8131.1;-8158.504;0;-999999.99;-999999.99
n_SPA2_169;2;-8106.437;-999999.99;-8175.709;-8063.3;0
n_SPA2_169;4;-8111.169;-8103.661;-8213.11;-8061.285;-8063.307
n_SPA6_170;3;-8190.529;-8060.428;-8098.623;-8212.414;-8056.414
n_SPA6_170;4;-8214.678;-8079.539;-8058.169;-8065.145;-8189.537
n_SPSK2_171;3;-8127.191;-8287.981;-8146.694;-8147.91;-8142.831
n_SPSK2_171;4;-8241.355;-8158.556;-8179.371;-8226.48;-999999.99
n_SPSK7_173;4;-8187.017;-999999.99;-999999.99;-8224.79;-8290.635
n_SVO2_135;3;-8183.387;-8070.137;-999999.99;-999999.99;-999999.99
n_SWS10_066;3;-8078.669;-8209.38;-8081.713;-8096.829;-8127.533
n_SWS10_066;4;-8154.313;-8076.882;-8099.373;-8087.214;-8197.363
n_SWS1_065;4;-8205.1;-8193.419;-8112.454;-8451.055;-8143.497
n_SWS7_144;2;-8079.464;-8130.591;-8049.863;-8046.244;-8050.336
n_SWS7_144;3;-8045.475;-8059.471;-8121.95;-8047.56;-8046.229
n_SWS7_144;4;-8161.093;-8242.537;-8095.574;-8094.376;-8185.564
n_THKH1_076;2;-8086.222;-999999.99;-999999.99;-8278.773;-8123.32
n_THKH1_076;3;-8142.314;-8195.839;-999999.99;-999999.99;Error:Couldnotfindfile"output/stepping_stone_n_THKH1_076_3.out"
n_THKH1_076;4;-8121.645;-8239.246;-8121.883;-8097.932;-999999.99
n_TNB2_062;3;-8069.413;Error:Couldnotfindfile"output/stepping_stone_n_TNB2_062_3.out";-999999.99;-999999.99;-8115.731
n_TNB2_062;4;-8061.306;-8033.731;-8098.237;-8250.319;-8221.693
