sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
n_MNSK10_123;4;-8231.911;-8190.976;-8102.94;-8100.344;-8204.43;-8175.276;3;16.649;Positive
n_MNSK5_122;2;-8099.588;-8130.095;-8318.971;-8129.169;-8120.078;-8182.885;3;25.150;Strong
n_MNSK5_122;3;-8142.706;-8176.204;-8152.542;-8096.624;-8147.114;-8157.151;3;25.150;Strong
n_MNSK5_122;4;-8160.933;-8200.543;-8185.425;-8104.388;-8118.581;-8182.300;3;25.150;Strong
n_NHS2_101;2;-8041.443;-999999.99;-999999.99;-999999.99;-8041.614;-8041.443;2;37.619;Strong
n_NHS2_101;3;-8089.843;-999999.99;-8068.281;-8059.966;-8113.037;-8079.062;2;37.619;Strong
n_NHS2_101;4;-8088.032;-8345.507;-8067.132;-8045.242;-999999.99;-8166.890;2;37.619;Strong
n_NHS8_102;4;-8100.205;-8088.076;-8084.982;-8271.047;-8125.301;-8091.088;4;NA;Cannot_compare
n_OLS5_014;3;-8313.255;-8130.744;-8187.712;-8153.147;-8123.486;-8210.570;4;32.431;Strong
n_OLS5_014;4;-8184.526;-8172.321;-8177.572;-8124.668;-8134.536;-8178.140;4;32.431;Strong
n_OSA1_109;2;-8113.556;-8271.714;-8126.488;-8073.268;-8118.687;-8170.586;3;37.755;Strong
n_OSA1_109;3;-8106.103;-8077.306;-8066.531;-8065.152;-8169.476;-8083.313;3;37.755;Strong
n_OSA1_109;4;-8067.696;-8194.711;-8100.799;-8296.75;-8210.932;-8121.069;3;37.755;Strong
n_OVCJ2_020;2;-8113.247;-8153.527;-8107.084;-8060.221;-8062.922;-8124.619;2;4.742;Positive
n_OVCJ2_020;3;-8061.15;-8248.661;-8078.274;-8140.909;-8075.4;-8129.362;2;4.742;Positive
n_OVCJ2_020;4;-8122.075;-8206.585;-8065.628;-8067.847;-8063.966;-8131.429;2;4.742;Positive
n_PKS1_085;2;-8169.283;-8184.963;-8157.221;-999999.99;-999999.99;-8170.489;2;NA;Cannot_compare
n_PKS3_150;3;-8165.303;-999999.99;-999999.99;-999999.99;-999999.99;-8165.303;3;NA;Cannot_compare
n_PKS5_086;2;-8122.07;-8107.764;-8150.786;-8171.662;-8088.01;-8126.873;2;6.158;Positive
n_PKS5_086;3;-8155.161;-8240.963;-8082.152;-8083.029;-8144.762;-8159.425;2;6.158;Positive
n_PKS5_086;4;-8138.714;-8088.326;-8172.054;-8137.668;-8219.497;-8133.031;2;6.158;Positive
n_PLD2_069;2;-8216.234;-8058.267;-8062.075;-8081.391;-8124.495;-8112.192;2;86.874;Strong
n_PLD2_069;3;-8232.789;-8166.986;-8197.424;-8143.321;-8115.659;-8199.066;2;86.874;Strong
n_PLD2_069;4;-8376.004;-8096.728;-8130.344;-999999.99;-999999.99;-8201.025;2;86.874;Strong
