state	power	likelihood
251	3.6251e-06	-11943.8
252	3.6251e-06	-12186.3
253	3.6251e-06	-13000.7
254	3.6251e-06	-13635.2
255	3.6251e-06	-12061.9
256	3.6251e-06	-12534.1
257	3.6251e-06	-11694.1
258	3.6251e-06	-11204.7
259	3.6251e-06	-11915.7
260	3.6251e-06	-13547.1
261	3.6251e-06	-11462.2
262	3.6251e-06	-11155.4
263	3.6251e-06	-11988.4
264	3.6251e-06	-12445
265	3.6251e-06	-11643.8
266	3.6251e-06	-10092.1
267	3.6251e-06	-12163.4
268	3.6251e-06	-11125.7
269	3.6251e-06	-10858.7
270	3.6251e-06	-13465.8
271	3.6251e-06	-11165.2
272	3.6251e-06	-11043.1
273	3.6251e-06	-12675.2
274	3.6251e-06	-11130.2
275	3.6251e-06	-11115.2
276	3.6251e-06	-11279.3
277	3.6251e-06	-14283.1
278	3.6251e-06	-14626.3
279	3.6251e-06	-14151.2
280	3.6251e-06	-10429.1
281	3.6251e-06	-11581
282	3.6251e-06	-12221.1
283	3.6251e-06	-12439.3
284	3.6251e-06	-13084.5
285	3.6251e-06	-11783.9
286	3.6251e-06	-12599.8
287	3.6251e-06	-15904.4
288	3.6251e-06	-13162.8
289	3.6251e-06	-12027.6
290	3.6251e-06	-14446.9
291	3.6251e-06	-10486.9
292	3.6251e-06	-11604
293	3.6251e-06	-16100.1
294	3.6251e-06	-12028.9
295	3.6251e-06	-10254.6
296	3.6251e-06	-9941.15
297	3.6251e-06	-10962.3
298	3.6251e-06	-10436
299	3.6251e-06	-11923
300	3.6251e-06	-10246.3
301	3.6251e-06	-10636.2
302	3.6251e-06	-11982.9
303	3.6251e-06	-11573.3
304	3.6251e-06	-10520
305	3.6251e-06	-13924.6
306	3.6251e-06	-13721
307	3.6251e-06	-13879.9
308	3.6251e-06	-14717.2
309	3.6251e-06	-12420
310	3.6251e-06	-11812.1
311	3.6251e-06	-12623.9
312	3.6251e-06	-13207.6
313	3.6251e-06	-14038.5
314	3.6251e-06	-11696.8
315	3.6251e-06	-12083.4
316	3.6251e-06	-12954.5
317	3.6251e-06	-11541.4
318	3.6251e-06	-10894.1
319	3.6251e-06	-12173.6
320	3.6251e-06	-12240.6
321	3.6251e-06	-17109.1
322	3.6251e-06	-10935.3
323	3.6251e-06	-12260.7
324	3.6251e-06	-13273.3
325	3.6251e-06	-13835.8
326	3.6251e-06	-14738.4
327	3.6251e-06	-12424.2
328	3.6251e-06	-12124.4
329	3.6251e-06	-12884.1
330	3.6251e-06	-10410.7
331	3.6251e-06	-13098.4
332	3.6251e-06	-10647.2
333	3.6251e-06	-12574.4
334	3.6251e-06	-11163.4
335	3.6251e-06	-11255.6
336	3.6251e-06	-11930.2
337	3.6251e-06	-11048.7
338	3.6251e-06	-11762.7
339	3.6251e-06	-10934.3
340	3.6251e-06	-11009
341	3.6251e-06	-10285.7
342	3.6251e-06	-11110.8
343	3.6251e-06	-12447.5
344	3.6251e-06	-12179.1
345	3.6251e-06	-11736.7
346	3.6251e-06	-10586.4
347	3.6251e-06	-11008.4
348	3.6251e-06	-9953.3
349	3.6251e-06	-10848.9
350	3.6251e-06	-13088.9
351	3.6251e-06	-13203.8
352	3.6251e-06	-12495.1
353	3.6251e-06	-11502
354	3.6251e-06	-10134.2
355	3.6251e-06	-11849.8
356	3.6251e-06	-10367.7
357	3.6251e-06	-11285
358	3.6251e-06	-12753.5
359	3.6251e-06	-14645.1
360	3.6251e-06	-12759.6
361	3.6251e-06	-11073.8
362	3.6251e-06	-12083.7
363	3.6251e-06	-11408.6
364	3.6251e-06	-10790.5
365	3.6251e-06	-10212.2
366	3.6251e-06	-11717.3
367	3.6251e-06	-11543.6
368	3.6251e-06	-10071.3
369	3.6251e-06	-12841.4
370	3.6251e-06	-11405.4
371	3.6251e-06	-13268.2
372	3.6251e-06	-11624.2
373	3.6251e-06	-11420.5
374	3.6251e-06	-13356.5
375	3.6251e-06	-13850.9
376	3.6251e-06	-13038.3
377	3.6251e-06	-11542.3
378	3.6251e-06	-13370.5
379	3.6251e-06	-14034.8
380	3.6251e-06	-15132.6
381	3.6251e-06	-15825.8
382	3.6251e-06	-12397.6
383	3.6251e-06	-13013.7
384	3.6251e-06	-12928.8
385	3.6251e-06	-13505.5
386	3.6251e-06	-11181.5
387	3.6251e-06	-11214.9
388	3.6251e-06	-10463.2
389	3.6251e-06	-11393.9
390	3.6251e-06	-12307.2
391	3.6251e-06	-12281.6
392	3.6251e-06	-18059.4
393	3.6251e-06	-17265.6
394	3.6251e-06	-15780.8
395	3.6251e-06	-13742.3
396	3.6251e-06	-15253
397	3.6251e-06	-16651
398	3.6251e-06	-16108.6
399	3.6251e-06	-13982.2
400	3.6251e-06	-15100.1
401	3.6251e-06	-11553.4
402	3.6251e-06	-11886
403	3.6251e-06	-15943.5
404	3.6251e-06	-17719.5
405	3.6251e-06	-14315.8
406	3.6251e-06	-14847.6
407	3.6251e-06	-14801.4
408	3.6251e-06	-14503.8
409	3.6251e-06	-13820.8
410	3.6251e-06	-12425.4
411	3.6251e-06	-11211.2
412	3.6251e-06	-10399
413	3.6251e-06	-10495.7
414	3.6251e-06	-12662.2
415	3.6251e-06	-12232.8
416	3.6251e-06	-14063.8
417	3.6251e-06	-14352.2
418	3.6251e-06	-14389.3
419	3.6251e-06	-13535.4
420	3.6251e-06	-12145.4
421	3.6251e-06	-12771.9
422	3.6251e-06	-11776.1
423	3.6251e-06	-11665.5
424	3.6251e-06	-10307.2
425	3.6251e-06	-17691
426	3.6251e-06	-17083.5
427	3.6251e-06	-17683.1
428	3.6251e-06	-10334.2
429	3.6251e-06	-10997.7
430	3.6251e-06	-10741.9
431	3.6251e-06	-13283.6
432	3.6251e-06	-14175.8
