sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
n_BKO5_054;4;-8177.465;-8200.802;-8218.509;-8178.275;-8177.257;-8198.925;4;22.708;Strong
n_BKO5_055;3;-8261.663;-8370.155;-8158.298;-8175.67;-8325.099;-8263.372;4;40.919;Strong
n_BKO5_055;4;-8240.702;-8208.318;-8218.338;-8151.895;-8151.403;-8222.453;4;40.919;Strong
n_BLS2_089;1;-8021.934;-8027.857;-8158.147;-8105.923;-8058.925;-8069.313;1;12.148;Positive
n_BLS2_089;2;-8134.127;-8153.688;-8031.323;-8023.326;-8027.131;-8106.379;1;12.148;Positive
n_BLS2_089;3;-8024.822;-8045.085;-8174.475;-8039.371;-8146.833;-8081.461;1;12.148;Positive
n_BLS2_089;4;-8047.75;-8103.467;-8114.281;-8041.53;-8061.045;-8088.499;1;12.148;Positive
n_BLS5_154;3;-8235.35;-8281.497;-8261.334;-8248.174;-8205.041;-8259.394;4;146.514;Strong
n_BLS5_154;4;-8104.917;-8120.925;-8112.797;-8117.512;-8129.37;-8112.880;4;146.514;Strong
n_BLS8_090;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_BLS8_090;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_BLS8_090;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_BLS8_090;4;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_BNFA2_032;3;-8106.494;-8099.839;-8085.607;-8110.293;-8098.999;-8097.313;3;55.787;Strong
n_BNFA2_032;4;-8235.568;-8091.122;-8132.611;-8076.154;-8116.714;-8153.100;3;55.787;Strong
n_BNFA5_131;3;-8178.834;-8186.811;-8162.943;-8169.829;-8240.557;-8176.196;4;21.455;Strong
n_BNFA5_131;4;-8099.408;-8265.067;-8099.748;-8194.986;-8143.869;-8154.741;4;21.455;Strong
n_BNFA8_033;3;-8295.802;-8302.184;-8253.662;-8330.624;-8093.158;-8283.883;4;162.860;Very_strong
n_BNFA8_033;4;-8169.093;-8071.713;-8122.262;-8078.322;-8080.847;-8121.023;4;162.860;Very_strong
n_BOJ2_050;3;-8148.508;-8164.396;-8114.168;-8172.636;-8227.487;-8142.357;3;53.473;Strong
n_BOJ2_050;4;-8220.69;-8114.662;-8252.14;-8204.211;-8148.729;-8195.831;3;53.473;Strong
n_BOJ5_136;2;-8130.807;-8090.149;-8078.177;-8177.813;-8078.789;-8099.711;2;36.212;Strong
n_BOJ5_136;3;-8172.966;-8103.211;-8134.191;-8131.357;-8073.981;-8136.789;2;36.212;Strong
n_BOJ5_136;4;-8197.602;-8120.224;-8089.944;-8202.801;-8092.635;-8135.923;2;36.212;Strong
n_BOJ8_051;2;-8172.188;-8113.371;-8074.829;-8130.015;-8220.495;-8120.129;4;38.165;Strong
n_BOJ8_051;3;-8155.693;-8221.91;-8077.779;-8116.415;-8110.219;-8151.794;4;38.165;Strong
n_BOJ8_051;4;-8077.421;-8091.269;-8077.204;-8083.949;-8144.944;-8081.965;4;38.165;Strong
n_BOO1_052;2;-8233.362;-8178.056;-8044.873;-8062.507;-8154.555;-8152.097;3;8.269;Positive
n_BOO1_052;3;-8130.378;-8048.588;-8151.738;-8073.7;-8194.753;-8110.235;3;8.269;Positive
n_BOO1_052;4;-8054.416;-8110.533;-8190.561;-8096.1;-8139.28;-8118.503;3;8.269;Positive
n_BRS2_099;3;-8146.249;-8106.129;-8089.406;-8108.902;-8182.698;-8113.928;4;28.383;Strong
n_BRS2_099;4;-8078.955;-8079.182;-8098.499;-8131.286;-8110.338;-8085.545;4;28.383;Strong
n_BRS5_163;2;-8055.406;-8059.186;-8079.275;-8033.224;-8080.612;-8064.622;2;1.617;Not_worth_more_than_a_bare_mention
n_BRS5_163;3;-8055.412;-8108.811;-8034.496;-8059.572;-8046.587;-8066.240;2;1.617;Not_worth_more_than_a_bare_mention
n_BRS5_163;4;-8069.533;-8294.52;-8036.633;-8084.419;-8126.926;-8133.562;2;1.617;Not_worth_more_than_a_bare_mention
n_BRS8_100;2;-8160.053;-8087.584;-8125.583;-8091.438;-8063.252;-8124.407;4;32.648;Strong
n_BRS8_100;3;-8034.203;-8121.527;-8099.95;-8193.328;-8026.021;-8085.227;4;32.648;Strong
n_BRS8_100;4;-8054.362;-8057.379;-8045.996;-8047.815;-8031.55;-8052.579;4;32.648;Strong
n_CHA1_073;3;-8341.67;-8206.574;-8129.94;-8167.795;-8173.427;-8226.061;4;48.510;Strong
n_CHA1_073;4;-8148.904;-8235.952;-8147.797;-8158.527;-8269.502;-8177.551;4;48.510;Strong
n_CHA2_107;2;-8083.828;-8131.7;-8149.756;-8124.073;-8068.649;-8121.761;4;10.035;Positive
n_CHA2_107;3;-8049.586;-8047.578;-8179.098;-8082.923;-8159.723;-8092.087;4;10.035;Positive
n_CHA2_107;4;-8064.415;-8088.611;-8093.132;-8208.806;-8148.39;-8082.053;4;10.035;Positive
n_CHA3_108;2;-8255.072;-8156.091;-8272.156;-8248.557;-8123.249;-8227.773;3;56.749;Strong
n_CHA3_108;3;-8195.148;-8196.923;-8121;-8112.543;-8115.044;-8171.024;3;56.749;Strong
n_CHA3_108;4;-8388.271;-8113.483;-8250.024;-8129.834;-8121.514;-8250.593;3;56.749;Strong
n_CHA4_110;2;-8109.186;-8191.673;-8086.08;-8090.834;-8083.422;-8128.980;2;35.435;Strong
n_CHA4_110;3;-8249.808;-8196.215;-8289.721;-8101.524;-8165.801;-8245.248;2;35.435;Strong
n_CHA4_110;4;-8101.027;-8118.32;-8273.896;-8157.209;-8156.353;-8164.414;2;35.435;Strong
n_CKS2_097;2;-8053.794;-8110.427;-8053.475;-8109.309;-8068.337;-8072.565;2;33.610;Strong
n_CKS2_097;3;-8193.238;-8056.89;-8068.398;-8055.077;-8279.642;-8106.175;2;33.610;Strong
n_CKS2_097;4;-8225.982;-8161.911;-8240.247;-8100.581;-8278.603;-8209.380;2;33.610;Strong
n_CKS5_151;2;-8062.36;-8088.851;-8066.736;-8120.085;-8061.667;-8072.649;2;49.599;Strong
n_CKS5_151;3;-8137.321;-8078.01;-8151.414;-8071.339;-8181.17;-8122.248;2;49.599;Strong
n_CKS5_151;4;-8140.6;-8223.54;-8166.33;-8128.001;-8135.952;-8176.823;2;49.599;Strong
n_CKS7_098;3;-8298.053;-8209.067;-8248.379;-8269.671;-8217.28;-8251.833;3;14.187;Positive
n_CKS7_098;4;-8278.59;-8178.181;-8341.288;-8255.93;-8175.676;-8266.020;3;14.187;Positive
n_CLB2_060;2;-8182.954;-8133.657;-8210.506;-8066.19;-8176.804;-8175.706;3;109.031;Strong
n_CLB2_060;3;-8046.718;-8058.087;-8056.493;-8086.634;-8054.927;-8053.766;3;109.031;Strong
n_CLB2_060;4;-8297.489;-8053.035;-8137.866;-8046.573;-8071.62;-8162.797;3;109.031;Strong
n_CLB5_142;3;-8066.611;-8117.38;-8128.305;-8066.821;-8068.354;-8104.099;3;0.388;Barely_worth_mentioning
n_CLB5_142;4;-8086.414;-8157.492;-8069.554;-8113.176;-8076.377;-8104.487;3;0.388;Barely_worth_mentioning
n_CLB8_061;3;-8158.519;-8160.669;-8141.678;-8119.831;-8168.549;-8153.622;3;39.452;Strong
n_CLB8_061;4;-8188.183;-8274.949;-8116.091;-8152.688;-8117.208;-8193.074;3;39.452;Strong
n_CLS2_095;2;-8088.199;-8077.318;-8056.716;-8049.356;-8018.385;-8074.078;2;19.333;Positive
n_CLS2_095;3;-8198.057;-8033.27;-8071.91;-8091.402;-8132.197;-8101.079;2;19.333;Positive
n_CLS2_095;4;-8090.034;-8165.215;-8024.983;-8036.312;-8029.659;-8093.411;2;19.333;Positive
n_CLS5_096;2;-8246.972;-8230.845;-8039.561;-8170.351;-8049.599;-8172.459;3;37.428;Strong
n_CLS5_096;3;-8074.345;-8083.546;-8055.571;-8185.541;-8274.049;-8071.154;3;37.428;Strong
n_CLS5_096;4;-8114.315;-8129.656;-8081.775;-8056.517;-8061.005;-8108.582;3;37.428;Strong
n_DBS3_007;2;-8128.32;-8265.297;-8159.034;-8126.827;-8147.034;-8184.217;3;0.136;Barely_worth_mentioning
n_DBS3_007;3;-8164.434;-8126.963;-8245.907;-8204.357;-8183.454;-8179.101;3;0.136;Barely_worth_mentioning
n_DBS3_007;4;-8134.099;-8174.713;-8228.9;-8168.482;-8299.952;-8179.237;3;0.136;Barely_worth_mentioning
n_DBS5_164;2;-8089.413;-8047.376;-8057.147;-8101.748;-8062.498;-8064.645;2;9.194;Positive
n_DBS5_164;3;-8056.221;-8124.616;-8066.216;-8046.954;-8044.532;-8082.351;2;9.194;Positive
n_DBS5_164;4;-8056.51;-8110.058;-8054.949;-8058.336;-8098.758;-8073.839;2;9.194;Positive
n_DBS8_008;2;-8084.79;-8075.402;-8051.504;-8051.929;-8091.705;-8070.565;2;46.355;Strong
n_DBS8_008;3;-8210.096;-8100.803;-8116.639;-8128.205;-8049.635;-8142.513;2;46.355;Strong
n_DBS8_008;4;-8190.213;-8050.448;-8110.101;-8118.541;-8124.265;-8116.921;2;46.355;Strong
n_DED5_129;2;-8269.059;-8075.163;-8320.12;-8101.29;-8097.208;-8221.447;3;11.607;Positive
n_DED5_129;3;-8072.122;-8067.773;-8082.515;-8250.712;-8086.464;-8074.137;3;11.607;Positive
n_DED5_129;4;-8069.312;-8083.564;-8104.355;-8073.326;-8155.307;-8085.744;3;11.607;Positive
n_DEU2_025;2;-8353.959;-8135.298;-8198.796;-8204.381;-8240.74;-8229.351;3;25.531;Strong
n_DEU2_025;3;-8082.685;-8111.266;-8178.972;-8188.831;-8261.5;-8124.308;3;25.531;Strong
n_DEU2_025;4;-8225.067;-8082.767;-8141.683;-8120.929;-8192.264;-8149.839;3;25.531;Strong
n_DEU8_026;2;-8104.636;-8091.089;-8095.97;-8251.617;-8059.44;-8097.232;2;0.240;Barely_worth_mentioning
n_DEU8_026;3;-8068.408;-8235.935;-8215.005;-8076.68;-8104.792;-8173.116;2;0.240;Barely_worth_mentioning
n_DEU8_026;4;-8121.982;-8080.766;-8089.667;-8065.739;-8180.059;-8097.472;2;0.240;Barely_worth_mentioning
n_DPK10_038;2;-8355.74;-8143.689;-8106.049;-8071.344;-8134.375;-8201.826;3;82.686;Strong
n_DPK10_038;3;-8124.076;-8069.183;-8065.746;-8193.397;-8104.795;-8086.335;3;82.686;Strong
n_DPK10_038;4;-8100.349;-8160.53;-8246.184;-8068.079;-8069.111;-8169.021;3;82.686;Strong
n_DPK1_037;3;-8277.067;-8261.508;-8245.999;-8265.323;-8233.98;-8261.525;4;51.162;Strong
n_DPK1_037;4;-8136.826;-8208.385;-8285.878;-8293.933;-8219.619;-8210.363;4;51.162;Strong
n_DPK5_133;3;-8224.413;-8245.16;-8159.611;-8163.866;-8221.514;-8209.728;3;19.390;Positive
