sample;ploidy;run1;run2;run3;run4;run5
n_LBK10_042;2;-8173.342;-8117.81;-8239.199;-8149.967;-8165.162
n_LBK10_042;3;-8127.759;-8226.845;-8170.605;-8186.505;-8248.886
n_LBK10_042;4;-8230.59;-8119.254;-8119.852;-8229.64;-8243.489
n_LBK1_041;3;-8123.422;-8253.514;-8187.042;-8123.166;-8123.441
n_LBK1_041;4;-8199.949;-8128.717;-8258.731;-8231.988;-8217.624
n_LBK5_159;3;-8394.746;-8179.313;-8168.649;-8212.092;-8272.769
n_LBK5_159;4;-8385.143;-8303;-8242.178;-8256.789;-8227.495
n_LNSA2_034;2;-8046.297;-8026.404;-8027.478;-8026.587;-8038.185
n_LNSA2_034;3;-8082.646;-8027.579;-8093.48;-8159.536;-8064.27
n_LNSA2_034;4;-8047.581;-8114.654;-8028.766;-8090.967;-8084.453
n_LNSA5_132;3;-8310.281;-8112.957;-8267.21;-8121.967;-8124.552
n_LNSA5_132;4;-8227.598;-8161.13;-8172.876;-8164.477;-8165.039
n_LNSA8_035;3;-8274.406;-8128.151;-8089.799;-8187.192;-8087.64
n_LNSA8_035;4;-8257.036;-8076.366;-8229.684;-8102.701;-8184.101
n_LSA5_130;2;-8101.92;-8158.43;-8099.635;-8061.896;-8286.154
n_LSA5_130;3;-8120.039;-8137.205;-8097.395;-8071.558;-8132.888
n_LSA5_130;4;-8100.934;-8066.896;-8088.868;-8254.273;-8121.879
n_LSRA2_027;3;-8113.931;-8155.245;-8221.707;-8125.166;-8366.214
n_LSRA2_027;4;-8149.601;-8165.326;-8124.727;-8115.768;-8311.599
n_LSRA8_028;2;-8122.809;-8115.516;-8118.447;-8150.977;-8165.871
n_LSRA8_028;3;-8111.126;-8197.315;-8111.321;-8169.857;-8110.309
n_LSRA8_028;4;-8144.295;-8319.147;-8114.349;-8376.276;-8111.958
n_LZS1_116;3;-8249.377;-8126.243;-8156.457;-8120.23;-8120.599
n_LZS1_116;4;-8131.921;-8193.149;-8259.435;-8144.622;-8200.81
