Sample,Subgenome,RPB,EIF3E
n_CLB5_142,n_CLB5_142_B,,
n_CLB5_142,n_CLB5_142_C,,
n_CLB8_061,n_CLB8_061_A,,
n_CLB8_061,n_CLB8_061_B,,
n_CLB8_061,n_CLB8_061_C,,
n_CLS2_095,n_CLS2_095_A,,
n_CLS2_095,n_CLS2_095_B,,
n_CLS5_096,n_CLS5_096_A,,
n_CLS5_096,n_CLS5_096_B,,
n_CLS5_096,n_CLS5_096_C,,
n_DBS3_007,n_DBS3_007_A,,
n_DBS3_007,n_DBS3_007_B,,
n_DBS3_007,n_DBS3_007_C,,
n_DBS5_164,n_DBS5_164_A,,
n_DBS5_164,n_DBS5_164_B,,
n_DBS8_008,n_DBS8_008_A,,
n_DBS8_008,n_DBS8_008_B,,
n_DED5_129,n_DED5_129_A,,
n_DED5_129,n_DED5_129_B,,
n_DED5_129,n_DED5_129_C,,
n_DEU2_025,n_DEU2_025_A,,
n_DEU2_025,n_DEU2_025_B,,
n_DEU2_025,n_DEU2_025_C,,
n_DEU8_026,n_DEU8_026_A,,
n_DEU8_026,n_DEU8_026_B,,
n_DPK10_038,n_DPK10_038_A,,
n_DPK10_038,n_DPK10_038_B,,
n_DPK10_038,n_DPK10_038_C,,
n_DPK1_037,n_DPK1_037_A,,
n_DPK1_037,n_DPK1_037_B,,
n_DPK1_037,n_DPK1_037_C,,
n_DPK1_037,n_DPK1_037_D,,
n_DPK5_133,n_DPK5_133_A,,
n_DPK5_133,n_DPK5_133_B,,
n_DPK5_133,n_DPK5_133_C,,
n_DSO1_113,n_DSO1_113_A,,
n_DSO1_113,n_DSO1_113_B,,
n_FRS2_087,n_FRS2_087_A,,
n_FRS2_087,n_FRS2_087_B,,
n_FRS2_087,n_FRS2_087_C,,
n_FRS2_087,n_FRS2_087_D,,
n_FRS5_161,n_FRS5_161_A,,
n_FRS5_161,n_FRS5_161_B,,
n_FRS5_161,n_FRS5_161_C,,
n_FRS8_088,n_FRS8_088_A,,
n_FRS8_088,n_FRS8_088_B,,
n_FRS8_088,n_FRS8_088_C,,
n_FRS8_088,n_FRS8_088_D,,
n_HPSK1_174,n_HPSK1_174_A,,
n_HPSK1_174,n_HPSK1_174_B,,
n_HPSK1_174,n_HPSK1_174_C,,
n_HPSK1_174,n_HPSK1_174_D,,
n_HPSK2_175,n_HPSK2_175_A,,
n_HPSK2_175,n_HPSK2_175_B,,
n_HPSK2_175,n_HPSK2_175_C,,
n_HPSK2_175,n_HPSK2_175_D,,
n_JIZ2_018,n_JIZ2_018_A,,
n_JIZ2_018,n_JIZ2_018_B,,
n_JIZ2_018,n_JIZ2_018_C,,
n_JIZ5_160,n_JIZ5_160_A,,
n_JIZ5_160,n_JIZ5_160_B,,
n_JIZ5_160,n_JIZ5_160_C,,
n_JIZ5_160,n_JIZ5_160_D,,
n_JIZ7_019,n_JIZ7_019_A,,
n_JIZ7_019,n_JIZ7_019_B,,
n_JIZ7_019,n_JIZ7_019_C,,
n_KKS2_103,n_KKS2_103_A,,
n_KKS2_103,n_KKS2_103_B,,
n_KKS2_103,n_KKS2_103_C,,
n_KKS2_103,n_KKS2_103_D,,
n_KKS5_167,n_KKS5_167_A,,
n_KKS5_167,n_KKS5_167_B,,
n_KKS5_167,n_KKS5_167_C,,
n_KKS5_167,n_KKS5_167_D,,
n_KKS8_104,n_KKS8_104_A,,
n_KKS8_104,n_KKS8_104_B,,
n_KKS8_104,n_KKS8_104_C,,
n_KKS8_104,n_KKS8_104_D,,
n_KPJ1_043,n_KPJ1_043_A,,
n_KPJ1_043,n_KPJ1_043_B,,
n_KPJ1_043,n_KPJ1_043_C,,
n_KPJ1_043,n_KPJ1_043_D,,
n_KPS2_091,n_KPS2_091_A,,
n_KPS2_091,n_KPS2_091_B,,
n_KPS2_091,n_KPS2_091_C,,
n_KPS5_158,n_KPS5_158_A,,
n_KPS5_158,n_KPS5_158_B,,
n_KPS5_158,n_KPS5_158_C,,
n_KPS5_158,n_KPS5_158_D,,
n_KPS8_092,n_KPS8_092_A,,
n_KPS8_092,n_KPS8_092_B,,
n_KVIS2_001,n_KVIS2_001_A,,
n_KVIS2_001,n_KVIS2_001_B,,
n_KVIS8_002,n_KVIS8_002_A,,
n_KVIS8_002,n_KVIS8_002_B,,
n_KVIS8_002,n_KVIS8_002_C,,
n_KVS5_155,n_KVS5_155_A,,
n_KVS5_155,n_KVS5_155_B,,
n_KVS5_155,n_KVS5_155_C,,
n_KVS5_155,n_KVS5_155_D,,
n_LBK10_042,n_LBK10_042_A,,
n_LBK10_042,n_LBK10_042_B,,
n_LBK10_042,n_LBK10_042_C,,
n_LBK10_042,n_LBK10_042_D,,
n_LBK1_041,n_LBK1_041_A,,
n_LBK1_041,n_LBK1_041_B,,
n_LBK1_041,n_LBK1_041_C,,
n_LBK5_159,n_LBK5_159_A,,
n_LBK5_159,n_LBK5_159_B,,
n_LBK5_159,n_LBK5_159_C,,
n_LNSA2_034,n_LNSA2_034_A,,
n_LNSA2_034,n_LNSA2_034_B,,
n_LNSA5_132,n_LNSA5_132_A,,
n_LNSA5_132,n_LNSA5_132_B,,
n_LNSA5_132,n_LNSA5_132_C,,
n_LNSA5_132,n_LNSA5_132_D,,
n_LNSA8_035,n_LNSA8_035_A,,
n_LNSA8_035,n_LNSA8_035_B,,
n_LNSA8_035,n_LNSA8_035_C,,
n_LSA5_130,n_LSA5_130_A,,
n_LSA5_130,n_LSA5_130_B,,
n_LSA5_130,n_LSA5_130_C,,
n_LSA5_130,n_LSA5_130_D,,
n_LSRA2_027,n_LSRA2_027_A,,
n_LSRA2_027,n_LSRA2_027_B,,
n_LSRA2_027,n_LSRA2_027_C,,
n_LSRA2_027,n_LSRA2_027_D,,
n_LSRA8_028,n_LSRA8_028_A,,
n_LSRA8_028,n_LSRA8_028_B,,
n_LZS1_116,n_LZS1_116_A,,
n_LZS1_116,n_LZS1_116_B,,
n_LZS1_116,n_LZS1_116_C,,
n_LZS4_152,n_LZS4_152_A,,
n_LZS4_152,n_LZS4_152_B,,
n_LZS8_117,n_LZS8_117_A,,
n_LZS8_117,n_LZS8_117_B,,
n_LZS8_117,n_LZS8_117_C,,
n_MDS2_003,n_MDS2_003_A,,
n_MDS2_003,n_MDS2_003_B,,
n_MDS5_156,n_MDS5_156_A,,
n_MDS5_156,n_MDS5_156_B,,
n_MDS8_004,n_MDS8_004_A,,
n_MDS8_004,n_MDS8_004_B,,
n_MFSK1_022,n_MFSK1_022_A,,
n_MFSK1_022,n_MFSK1_022_B,,
n_MFSK1_022,n_MFSK1_022_C,,
n_MJS1_149,n_MJS1_149_A,,
n_MJS1_149,n_MJS1_149_B,,
n_MJS1_149,n_MJS1_149_C,,
n_MJS2_081,n_MJS2_081_A,,
n_MJS2_081,n_MJS2_081_B,,
n_MJS2_081,n_MJS2_081_C,,
n_MJS2_081,n_MJS2_081_D,,
n_MKJ10_046,n_MKJ10_046_A,,
n_MKJ10_046,n_MKJ10_046_B,,
n_MKJ1_044,n_MKJ1_044_A,,
n_MKJ1_044,n_MKJ1_044_B,,
n_MKJ1_044,n_MKJ1_044_C,,
n_MKJ1_044,n_MKJ1_044_D,,
n_MKJ5_045,n_MKJ5_045_A,,
n_MKJ5_045,n_MKJ5_045_B,,
n_PPSK4_177,n_PPSK4_177_A,,
n_PPSK4_177,n_PPSK4_177_B,,
n_PPSK4_177,n_PPSK4_177_C,,
n_VJJS2_011,n_VJJS2_011_A,,
n_VJJS2_011,n_VJJS2_011_B,,
n_VJJS2_011,n_VJJS2_011_C,,
